"Description","URL"
"KT_AI","https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities"
"KT_AR","https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities"
"KT_AG","https://wms.geo.ag.ch/public/ows?SERVICE=WMS"
"KT_BL","https://tile.geoview.bl.ch/1.0.0/WMTSCapabilities.xml"
"KT_GE","https://ge.ch/sitgags1/services/VECTOR/SITG_OPENDATA_01/MapServer/WMSServer?request=GetCapabilities&service=WMS"
"KT_BE","https://oerebservice.apps.be.ch/cgi-bin/mapserv.fcgi?map=oereb_de&request=GetCapabilities&service=WMS"
"Geodienste","https://geodienste.ch/db/av/deu?SERVICE=WMS&REQUEST=GetCapabilities"
"Geodienste","https://geodienste.ch/db/av_situationsplan/deu?SERVICE=WMS&REQUEST=GetCapabilities"
"Bund"," https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml"
"Bund"," https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities"
